gene_id,Chr,Reads,TPM,Name,Product
BBFGCJEA_02737,ec_contig_16,20,0.59324,ssuC_2,Putative aliphatic sulfonates transport permease protein SsuC
BBFGCJEA_02738,ec_contig_16,29,0.927401,tauB,Taurine import ATP-binding protein TauB
BBFGCJEA_02739,ec_contig_16,24,0.612091,tauA,Taurine-binding periplasmic protein
BBFGCJEA_02740,ec_contig_16,17,0.748248,bshB1,N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
BBFGCJEA_02741,ec_contig_16,1,0.248082,,hypothetical protein
BBFGCJEA_02742,ec_contig_16,87,1.78507,arnC_3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
BBFGCJEA_02743,ec_contig_16,207,5.61142,,IS3 family transposase IS2
BBFGCJEA_02744,ec_contig_16,121,8.11961,,hypothetical protein
BBFGCJEA_02745,ec_contig_16,31,1.71478,lpxD_1,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
BBFGCJEA_02746,ec_contig_16,91,2.88756,,hypothetical protein
BBFGCJEA_02747,ec_contig_16,36,3.2035,frmR,Transcriptional repressor FrmR
BBFGCJEA_02748,ec_contig_16,674,14.9131,frmA,S-(hydroxymethyl)glutathione dehydrogenase
BBFGCJEA_02749,ec_contig_16,883,26.0031,frmB,S-formylglutathione hydrolase FrmB
BBFGCJEA_02750,ec_contig_16,776,35.2938,,hypothetical protein
BBFGCJEA_02751,ec_contig_16,118,2.39117,mhpT,3-(3-hydroxy-phenyl)propionate transporter
BBFGCJEA_02752,ec_contig_16,273,6.61234,mhpE,4-hydroxy-2-oxovalerate aldolase
BBFGCJEA_02753,ec_contig_16,409,10.5627,mhpF,Acetaldehyde dehydrogenase
BBFGCJEA_02754,ec_contig_16,355,10.764,mhpD,2-keto-4-pentenoate hydratase
BBFGCJEA_02755,ec_contig_16,347,9.82972,mhpC,2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
BBFGCJEA_02756,ec_contig_16,134,3.4826,mhpB,2%2C3-dihydroxyphenylpropionate/2%2C3-dihydroxicinnamic acid 1%2C2-dioxygenase
BBFGCJEA_02757,ec_contig_16,24,0.35402,mhpA,3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
BBFGCJEA_02758,ec_contig_16,627,18.4643,,hypothetical protein
BBFGCJEA_02759,ec_contig_16,64,1.32982,yycB,putative transporter YycB
BBFGCJEA_02760,ec_contig_16,55,2.86796,cynS,Cyanate hydratase
BBFGCJEA_02761,ec_contig_16,36,1.33964,cynT,Carbonic anhydrase 1
BBFGCJEA_02762,ec_contig_16,223,6.08546,cynR_1,HTH-type transcriptional regulator CynR
BBFGCJEA_02763,ec_contig_16,5226,99.9621,codA,Cytosine deaminase
BBFGCJEA_02764,ec_contig_16,10382,202.368,codB,Cytosine permease
BBFGCJEA_02765,ec_contig_16,65,0.846004,acs_2,Acetyl-coenzyme A synthetase
BBFGCJEA_02766,ec_contig_16,14,0.236806,prpD,2-methylcitrate dehydratase
BBFGCJEA_02767,ec_contig_16,38,0.79768,prpC,2-methylcitrate synthase
BBFGCJEA_02768,ec_contig_16,67,3.68127,,hypothetical protein
BBFGCJEA_02769,ec_contig_16,75,2.06735,prpB,2-methylisocitrate lyase
BBFGCJEA_02770,ec_contig_16,83,1.28449,prpR,Propionate catabolism operon regulatory protein
BBFGCJEA_02771,ec_contig_16,439,39.0649,,hypothetical protein
BBFGCJEA_02772,ec_contig_16,74,22.4377,,
BBFGCJEA_02773,ec_contig_16,43,1.29422,,hypothetical protein
BBFGCJEA_02774,ec_contig_16,732,17.1219,yahK,Aldehyde reductase YahK
BBFGCJEA_02775,ec_contig_16,211,3.74706,,hypothetical protein
BBFGCJEA_02776,ec_contig_16,57,1.47206,arcC2,Carbamate kinase 2
BBFGCJEA_02777,ec_contig_16,87,6.65649,,hypothetical protein
BBFGCJEA_02778,ec_contig_16,55,0.951943,allG_2,Oxamate carbamoyltransferase subunit AllG
BBFGCJEA_02779,ec_contig_16,34,0.539435,allF_2,Oxamate carbamoyltransferase subunit AllF
BBFGCJEA_02780,ec_contig_16,21,0.596948,,hypothetical protein
BBFGCJEA_02781,ec_contig_16,27,1.09426,,hypothetical protein
BBFGCJEA_02782,ec_contig_16,7,0.345223,,hypothetical protein
BBFGCJEA_02783,ec_contig_16,1291,33.9841,yahB,putative HTH-type transcriptional regulator YahB
BBFGCJEA_02784,ec_contig_16,995,22.4402,pdeL,Cyclic di-GMP phosphodiesterase PdeL
BBFGCJEA_02785,ec_contig_16,1809,21.8433,betT,High-affinity choline transport protein
BBFGCJEA_02786,ec_contig_16,2048,85.5428,betI,HTH-type transcriptional regulator BetI
BBFGCJEA_02787,ec_contig_16,1363,22.726,betB,Betaine aldehyde dehydrogenase
BBFGCJEA_02788,ec_contig_16,803,11.8024,betA,Oxygen-dependent choline dehydrogenase
BBFGCJEA_02789,ec_contig_16,125,4.58896,,hypothetical protein
BBFGCJEA_02790,ec_contig_16,35,1.23506,lutC,Lactate utilization protein C
BBFGCJEA_02791,ec_contig_16,107,1.84029,lutB,Lactate utilization protein B
BBFGCJEA_02792,ec_contig_16,30,1.02334,lutA,Lactate utilization protein A
BBFGCJEA_02793,ec_contig_16,90,2.58528,rclR,RCS-specific HTH-type transcriptional activator RclR
BBFGCJEA_02794,ec_contig_16,104,1.92629,rclA,putative pyridine nucleotide-disulfide oxidoreductase RclA
BBFGCJEA_02795,ec_contig_16,18,0.744247,rclC,Inner membrane protein RclC
BBFGCJEA_02796,ec_contig_16,90,3.21749,rhaR_3,HTH-type transcriptional activator RhaR
BBFGCJEA_02797,ec_contig_16,142,4.02254,,IS3 family transposase IS3
BBFGCJEA_02798,ec_contig_16,57,4.66643,,IS3 family transposase ISEc17
BBFGCJEA_02799,ec_contig_16,13,0.359552,,hypothetical protein
BBFGCJEA_02800,ec_contig_16,38,9.14986,ykgR,putative membrane protein YkgR
BBFGCJEA_02801,ec_contig_16,78,7.17487,ykgM,Large ribosomal subunit protein bL31B
BBFGCJEA_02802,ec_contig_16,96,16.7218,ykgO,Large ribosomal subunit protein bL36B
BBFGCJEA_02803,ec_contig_16,56,2.53291,ecpR,HTH-type transcriptional regulator EcpR
BBFGCJEA_02804,ec_contig_16,389,16.2481,ecpA,Common pilus major fimbrillin subunit EcpA
BBFGCJEA_02805,ec_contig_16,30,1.10135,ecpB,putative fimbrial chaperone EcpB
BBFGCJEA_02806,ec_contig_16,232,2.25572,ecpC,putative outer membrane usher protein EcpC
BBFGCJEA_02807,ec_contig_16,338,5.04947,ecpD,Fimbria adhesin EcpD
BBFGCJEA_02808,ec_contig_16,152,5.25055,ecpE,putative fimbrial chaperone EcpE
BBFGCJEA_02809,ec_contig_16,569,22.7231,yagU,Inner membrane protein YagU
BBFGCJEA_02810,ec_contig_16,39,1.38818,paoA,Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
BBFGCJEA_02811,ec_contig_16,55,1.4115,paoB,Aldehyde oxidoreductase FAD-binding subunit PaoB
BBFGCJEA_02812,ec_contig_16,133,1.48545,paoC,Aldehyde oxidoreductase molybdenum-binding subunit PaoC
BBFGCJEA_02813,ec_contig_16,72,1.84778,paoD,Molybdenum cofactor insertion chaperone PaoD
BBFGCJEA_02814,ec_contig_16,54,3.22688,,hypothetical protein
BBFGCJEA_02815,ec_contig_16,1731,32.0615,xerC_2,Tyrosine recombinase XerC
BBFGCJEA_02816,ec_contig_16,657,36.5896,,hypothetical protein
BBFGCJEA_02817,ec_contig_16,19,2.07397,ykgV,Protein YkgV
BBFGCJEA_02818,ec_contig_16,74,2.12567,,hypothetical protein
BBFGCJEA_02819,ec_contig_16,82,2.88116,,hypothetical protein
BBFGCJEA_02820,ec_contig_16,407,15.9425,,hypothetical protein
BBFGCJEA_02821,ec_contig_16,492,16.5076,,hypothetical protein
BBFGCJEA_02822,ec_contig_16,101,8.98759,,IS1 family transposase IS1D
BBFGCJEA_02823,ec_contig_16,115,7.472,,IS1 family transposase IS1R
BBFGCJEA_02824,ec_contig_16,4059,99.1936,argF,Ornithine carbamoyltransferase subunit F
BBFGCJEA_02825,ec_contig_16,873,28.249,xynR,HTH-type transcriptional regulator XynR
BBFGCJEA_02826,ec_contig_16,94,1.43306,xynB,Beta-xylosidase
