gene_id,Chr,Reads,TPM,Name,Product
BBFGCJEA_01962,ec_contig_16,1034,69.3489,,hypothetical protein
BBFGCJEA_02319,ec_contig_16,1304,69.2216,ybhL,Inner membrane protein YbhL
BBFGCJEA_00230,ec_contig_4,2652,69.0669,aspA,Aspartate ammonia-lyase
BBFGCJEA_02225,ec_contig_16,406,67.53,cspD,Cold shock-like protein CspD
BBFGCJEA_02718,ec_contig_16,1453,67.1327,proC,Pyrroline-5-carboxylate reductase
BBFGCJEA_03335,ec_contig_17,3523,66.6898,speA,Biosynthetic arginine decarboxylase
BBFGCJEA_04165,ec_contig_18,1151,66.168,rseA,Anti-sigma-E factor RseA
BBFGCJEA_00735,ec_contig_7,294,65.4925,rpmG,Large ribosomal subunit protein bL33
IEOEGPMD_01601,pa_contig_19,132,64.1559,,
BBFGCJEA_03728,ec_contig_17,642,64.0704,rpsL,Small ribosomal subunit protein uS12
BBFGCJEA_02343,ec_contig_16,256,63.8708,acrZ,Multidrug efflux pump accessory protein AcrZ
BBFGCJEA_03441,ec_contig_17,341,63.4909,glgS,Surface composition regulator
BBFGCJEA_03594,ec_contig_17,1073,63.438,yrbL,putative protein YrbL
BBFGCJEA_04140,ec_contig_18,1881,62.7407,tyrA,T-protein
BBFGCJEA_01149,ec_contig_16,379,62.2096,,hypothetical protein
BBFGCJEA_03818,ec_contig_17,1835,62.2043,asd,Aspartate-semialdehyde dehydrogenase
BBFGCJEA_03401,ec_contig_17,1220,62.1192,exbB,Biopolymer transport protein ExbB
BBFGCJEA_03074,ec_contig_16,436,61.8068,rpsT,Small ribosomal subunit protein bS20
BBFGCJEA_02665,ec_contig_16,449,61.5513,hupB,DNA-binding protein HU-beta
BBFGCJEA_03688,ec_contig_17,822,61.0372,rpsE,Small ribosomal subunit protein uS5
BBFGCJEA_03690,ec_contig_17,854,59.8508,rplF,Large ribosomal subunit protein uL6
BBFGCJEA_03015,ec_contig_16,2790,59.091,ftsI,penicillin-binding protein PBP3 FtsI
BBFGCJEA_03846,ec_contig_17,1349,59.0472,rpoH,RNA polymerase sigma factor RpoH
BBFGCJEA_01224,ec_contig_16,1177,58.967,cutC,PF03932 family protein CutC
BBFGCJEA_03683,ec_contig_17,562,58.9144,rpsM,Small ribosomal subunit protein uS13
BBFGCJEA_02046,ec_contig_16,387,58.8748,dinI,DNA damage-inducible protein I
BBFGCJEA_02095,ec_contig_16,1229,57.4213,rutD,Putative carbamate hydrolase RutD
BBFGCJEA_02407,ec_contig_16,317,57.3116,,hypothetical protein
BBFGCJEA_00625,ec_contig_7,1520,57.2859,asnA,Aspartate--ammonia ligase
BBFGCJEA_01872,ec_contig_16,627,56.6788,hns,DNA-binding protein H-NS
BBFGCJEA_04206,ec_contig_18,736,56.3277,iscR,HTH-type transcriptional regulator IscR
BBFGCJEA_02876,ec_contig_16,415,55.6669,yafQ,mRNA interferase toxin YafQ
BBFGCJEA_03572,ec_contig_17,382,55.4111,rpmA,Large ribosomal subunit protein bL27
